STN;YYYYMMDD;DDVEC;FHVEC;FG;FHX;FHXH;FHN;FHNH;FXX;FXXH;TG;TN;TNH;TX;TXH;T10N;T10NH;SQ;SP;Q;DR;RH;RHX;RHXH;PG;PX;PXH;PN;PNH;VVN;VVNH;VVX;VVXH;NG;UG;UX;UXH;UN;UNH;EV24
225;20150128;240;131;154;200;14;70;1;280;15;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150129;260;117;125;180;4;50;21;220;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150130;274;63;73;130;19;20;4;200;19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225;20150131;260;62;65;80;1;40;16;120;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
235;20150101;213;107;108;140;20;80;4;210;23;64;56;19;71;1;53;24;6;8;105;18;14;8;24;10266;10321;3;10172;24;58;22;73;1;7;89;93;5;78;1;1
235;20150102;266;111;121;140;1;100;24;240;1;79;66;23;104;6;59;24;53;69;320;31;29;10;2;10229;10292;22;10151;5;30;3;67;18;5;76;98;3;65;18;4
235;20150103;267;69;79;110;9;50;16;170;9;63;53;12;74;9;45;24;0;0;78;16;7;3;14;10215;10281;1;10165;15;57;14;77;20;6;79;93;12;65;22;1
235;20150104;293;50;56;70;1;40;14;130;3;60;44;20;79;13;29;24;58;75;368;0;0;0;1;10319;10343;17;10260;1;68;16;80;12;1;72;85;16;64;7;5
235;20150105;221;59;65;90;4;50;22;120;3;54;46;12;66;9;38;6;0;0;69;0;0;0;1;10291;10330;1;10250;24;49;15;75;7;8;92;97;14;79;7;1
235;20150106;207;34;52;70;19;40;1;130;21;46;26;14;75;23;28;18;17;22;208;21;7;3;18;10207;10245;1;10182;17;23;18;75;22;8;90;98;18;72;23;3
235;20150107;216;72;77;130;23;30;4;190;23;60;37;4;77;11;16;6;48;61;297;10;3;2;24;10227;10251;8;10180;24;50;24;67;3;5;90;95;22;81;1;4
235;20150108;236;77;85;130;1;50;12;190;2;74;54;1;89;11;51;6;0;0;44;41;100;46;13;10178;10224;21;10150;11;50;3;67;16;6;93;98;5;80;21;1
235;20150109;239;113;117;160;7;70;18;240;5;91;70;5;113;24;65;18;0;0;126;43;36;15;19;10116;10214;1;10065;22;28;19;66;16;8;88;98;19;62;16;2
